school_name,school_code,latitude,longitude,status,google_name,google_lat,google_lng,google_address,distance_m,your_pin_link,google_pin_link
SJK(T) RAJAJI,PBD1084,5.405147222,100.28955,confirmed,鍾靈獨立中學 Chung Ling Private High School,5.404349,100.2939055,"Chung Ling Private High School, Lrg Kg Baru, 11400 Ayer Itam, Pulau Pinang, Malaysia",490.0,"https://www.google.com/maps?q=5.405147222,100.28955","https://www.google.com/maps?q=5.404349,100.2939055"
SJK(T) SUNGAI BUAYA,BBD1061,2.845913,101.481687,confirmed,Sungai Buaya National Type (Tamil) Primary School,2.846054,101.4814435,"Sungai Buaya, 42700 Banting, Selangor, Malaysia",31.0,"https://www.google.com/maps?q=2.845913,101.481687","https://www.google.com/maps?q=2.846054,101.4814435"
SJK(T) LADANG JURU,PBD0035,5.31511,100.432,confirmed,Sekolah Jenis Kebangsaan (Tamil) Ladang Juru,5.3138858,100.4312777,"Taman Cendana, 14100 Simpang Ampat, Pulau Pinang, Malaysia",158.0,"https://www.google.com/maps?q=5.31511,100.432","https://www.google.com/maps?q=5.3138858,100.4312777"
SJK(T) DESA CEMPAKA,NBD4076,2.79737,101.767,confirmed,SMK Desa Cempaka,2.7985696000000004,101.768083,"Desa Cempaka, 71800 Nilai, Negeri Sembilan, Malaysia",180.0,"https://www.google.com/maps?q=2.79737,101.767","https://www.google.com/maps?q=2.7985696000000004,101.768083"
SJK(T) DARUL AMAN,KBD4052,6.25766,100.4313,confirmed,SJK (Tamil) Darul Aman,6.257297200000001,100.4300663,"Sjk (t) Darul Aman Taman Dato Osman Aroff 06000, Bandar Darulaman, 06000 Jitra, Kedah, Malaysia",142.0,"https://www.google.com/maps?q=6.25766,100.4313","https://www.google.com/maps?q=6.257297200000001,100.4300663"
SJK(T) KEMAYAN,CBDA099,3.126314886,102.3560428,offset,Sjk (T) Kemayan,3.1300331,102.3628851,"10, 28380 Kemayan, Pahang, Malaysia",865.0,"https://www.google.com/maps?q=3.126314886,102.3560428","https://www.google.com/maps?q=3.1300331,102.3628851"
SJK(T) JALAN SAN PENG,WBD0174,3.13388,101.709,confirmed,Tsun Jin,3.135053,101.7064108,"6, Jln Loke Yew, Pudu, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",316.0,"https://www.google.com/maps?q=3.13388,101.709","https://www.google.com/maps?q=3.135053,101.7064108"
SJK(T) YMHA,ABD6101,4.847322,100.733438,confirmed,SMK Convent Taiping,4.8466568,100.7365702,"Jalan Convent, Kampung Jambu, 34000 Taiping, Perak, Malaysia",355.0,"https://www.google.com/maps?q=4.847322,100.733438","https://www.google.com/maps?q=4.8466568,100.7365702"
SJK(T) RUMBIA,MBD0063,2.324157,102.205073,confirmed,SJK(T) Rumbia,2.3237499,102.2053471,"Rembia, 78000 Alor Gajah, Malacca, Malaysia",55.0,"https://www.google.com/maps?q=2.324157,102.205073","https://www.google.com/maps?q=2.3237499,102.2053471"
SJK(T) LADANG PAYA KAMUNTING,KBD4051,6.30157,100.42209,confirmed,SJK(T) Ladang Paya Kamunting,6.3016339,100.4206074,"AH2, Jitra, SRJKT Paya Kemunting, North-South Expy, Kampung Lahar, 06000 Jitra, Kedah, Malaysia",164.0,"https://www.google.com/maps?q=6.30157,100.42209","https://www.google.com/maps?q=6.3016339,100.4206074"
